organ,drug,dose_mg,duration_h,oxygen,ph,viability,lactate,toxic_metabolites,heartbeat,contractility,filtration,glucose,label
heart,Drug C,27.7,22.27,77.12,7.093,61.49,5.36,19.83,98.42,58.52,60.37,83.6,Mild Toxicity
liver,Drug B,8.26,26.23,95.63,7.328,87.38,1.87,4.61,71.96,85.54,92.23,88.96,Normal
heart,Drug C,22.3,1.08,93.68,7.408,95.84,1.48,2.37,72.75,93.54,117.05,95.46,Normal
kidney,Drug B,44.27,13.48,86.51,7.277,83.66,2.5,8.41,90.52,77.66,84.89,77.71,Mild Toxicity
kidney,Drug C,21.79,29.01,71.63,7.052,60.62,5.63,21.01,97.98,54.63,59.44,69.48,Mild Toxicity
kidney,Drug B,34.63,5.35,95.21,7.349,91.42,1.53,4.01,76.11,81.82,101.59,89.64,Normal
kidney,Drug A,44.77,28.19,98.93,7.437,97.44,1.2,1.13,73.86,90.26,102.53,92.37,Normal
kidney,Drug C,11.48,30.75,82.56,7.251,79.17,3.59,12.67,96.6,72.24,77.78,77.88,Mild Toxicity
liver,Drug A,22.56,14.12,97.58,7.416,99.54,0.95,1.25,68.28,93.53,97.62,99.24,Normal
lungs,Drug B,50.06,7.57,91.47,7.282,85.84,2.15,7.36,73.99,87.52,79.89,85.37,Normal
heart,Drug A,8.4,24.42,93.27,7.389,97.43,0.74,0.68,69.38,87.68,116.2,100.37,Normal
kidney,Drug B,42.41,2.63,93.7,7.343,96.35,1.43,2.36,76.43,90.69,105.89,97.84,Normal
lungs,Drug A,34.73,11.89,96.47,7.4,96.09,1.09,1.87,69.5,89.63,100.0,94.54,Normal
lungs,Drug C,58.05,32.17,26.97,6.6,5.0,12.0,58.47,20.0,8.0,8.0,23.59,Severe Toxicity
liver,Drug C,40.25,21.65,62.43,6.906,44.45,7.68,28.02,40.41,49.41,43.64,74.5,Severe Toxicity
lungs,Drug C,47.42,22.51,52.31,6.865,34.97,9.27,34.67,42.51,33.37,28.37,48.45,Severe Toxicity
heart,Drug B,38.8,1.96,95.38,7.354,97.07,1.33,2.2,69.72,90.49,101.87,107.28,Normal
heart,Drug C,48.01,31.42,36.27,6.667,10.77,12.0,48.29,25.13,10.18,8.0,39.01,Severe Toxicity
kidney,Drug A,53.09,14.9,93.22,7.422,100.0,1.29,1.91,76.62,91.31,88.71,95.87,Normal
liver,Drug A,19.48,12.43,94.62,7.415,98.97,1.14,1.39,66.21,89.78,108.4,96.75,Normal
lungs,Drug B,5.17,18.49,98.8,7.348,94.71,1.51,2.33,86.21,87.06,115.74,96.23,Normal
kidney,Drug A,11.46,10.24,96.18,7.377,100.0,1.06,1.29,72.67,96.1,110.05,94.1,Normal
kidney,Drug B,15.46,5.46,93.99,7.344,93.22,1.26,2.76,65.67,90.54,101.73,92.2,Normal
heart,Drug A,17.18,4.53,99.96,7.472,95.55,0.79,1.53,65.67,97.53,112.22,101.86,Normal
kidney,Drug C,59.09,11.39,67.18,7.088,56.13,6.08,22.55,98.31,58.14,56.26,73.72,Severe Toxicity
liver,Drug B,10.32,14.53,97.79,7.397,90.85,1.36,3.44,76.81,85.11,103.33,83.86,Normal
liver,Drug B,32.05,2.47,94.17,7.341,96.25,1.41,2.14,73.52,81.83,115.86,98.72,Normal
lungs,Drug B,37.63,25.35,79.63,7.246,77.52,4.0,13.04,85.05,72.94,78.9,96.34,Mild Toxicity
lungs,Drug C,14.47,1.24,97.97,7.35,93.38,1.15,1.62,70.36,88.02,118.68,98.6,Normal
liver,Drug A,57.33,17.91,92.78,7.376,98.59,1.0,1.31,63.6,93.26,107.35,84.13,Normal
kidney,Drug A,33.16,3.25,96.63,7.407,100.0,1.67,1.03,77.07,94.35,103.98,99.18,Normal
heart,Drug A,5.55,31.47,98.31,7.481,96.54,0.6,1.52,68.03,94.83,111.43,88.81,Normal
liver,Drug B,15.77,24.86,89.49,7.298,88.12,2.43,6.33,74.07,79.77,94.06,88.42,Normal
liver,Drug B,34.08,31.64,74.35,7.169,70.75,4.5,15.25,86.04,67.67,86.15,81.28,Mild Toxicity
heart,Drug B,40.4,14.2,90.43,7.298,81.61,2.72,8.72,85.92,79.48,99.37,86.1,Mild Toxicity
kidney,Drug B,15.7,6.23,95.84,7.428,93.28,1.29,2.67,65.57,89.02,101.58,93.92,Normal
heart,Drug B,57.83,4.18,89.06,7.38,91.54,1.77,4.52,75.55,90.31,102.56,89.78,Normal
heart,Drug A,15.41,2.48,97.25,7.312,100.0,1.12,1.12,73.83,92.14,106.89,82.42,Normal
kidney,Drug A,22.98,7.5,95.79,7.437,99.26,0.95,2.64,71.9,95.58,112.32,92.58,Normal
heart,Drug A,11.97,10.51,96.11,7.426,99.32,0.83,1.84,69.9,94.22,114.59,85.27,Normal
heart,Drug A,24.67,20.57,96.63,7.338,98.02,1.26,1.62,71.64,92.56,99.4,95.61,Normal
heart,Drug C,31.41,16.04,80.56,7.158,68.54,4.66,17.1,99.4,73.53,70.63,80.59,Mild Toxicity
heart,Drug B,14.01,3.04,98.46,7.362,93.04,1.01,2.1,71.25,90.94,112.44,98.85,Normal
heart,Drug B,50.76,34.54,67.47,6.977,55.36,6.46,23.05,110.97,52.15,49.38,66.73,Severe Toxicity
heart,Drug A,5.41,35.94,94.12,7.424,95.89,1.34,1.97,69.45,95.68,118.93,97.69,Normal
lungs,Drug C,57.66,23.18,46.18,6.696,20.64,10.76,42.86,33.82,25.25,13.52,48.93,Severe Toxicity
liver,Drug B,15.85,17.71,88.8,7.335,90.61,2.07,5.64,73.04,87.63,108.29,97.44,Normal
heart,Drug C,50.24,14.89,67.33,6.936,56.86,6.37,24.69,97.95,53.96,62.57,71.56,Severe Toxicity
liver,Drug B,24.91,10.48,96.62,7.362,84.94,1.84,4.54,82.46,88.29,100.49,99.58,Normal
kidney,Drug B,7.36,9.46,95.61,7.462,93.21,1.39,2.32,82.96,91.48,114.2,98.53,Normal
lungs,Drug A,25.2,20.14,98.72,7.488,100.0,1.0,2.17,74.11,95.2,111.0,104.97,Normal
heart,Drug B,47.96,20.91,80.47,7.178,70.72,4.19,14.67,88.82,76.04,62.32,75.84,Mild Toxicity
lungs,Drug A,34.05,27.42,95.28,7.442,100.0,1.3,2.36,67.42,98.34,101.47,92.67,Normal
liver,Drug A,27.35,26.83,96.9,7.408,99.1,1.08,1.16,76.26,92.44,106.39,90.79,Normal
lungs,Drug C,32.16,4.03,94.12,7.335,90.34,2.17,5.06,85.68,86.48,89.36,99.65,Normal
liver,Drug A,48.15,8.06,99.5,7.408,95.88,0.98,1.25,71.27,88.53,117.44,101.87,Normal
liver,Drug C,2.14,17.02,96.43,7.367,95.95,1.47,2.8,70.81,85.11,115.85,97.67,Normal
lungs,Drug B,12.1,23.28,92.35,7.344,91.68,2.27,4.74,78.74,90.43,100.55,86.04,Normal
heart,Drug B,38.31,10.74,87.66,7.271,86.14,2.79,6.9,92.11,85.62,96.47,87.81,Normal
lungs,Drug C,21.51,17.09,81.11,7.14,75.24,3.98,13.02,79.46,77.69,77.89,81.02,Mild Toxicity
liver,Drug A,24.53,1.39,96.19,7.448,100.0,1.12,1.34,73.73,91.95,115.92,96.88,Normal
heart,Drug C,52.76,33.12,30.71,6.6,5.0,12.0,54.61,28.12,8.0,8.0,27.31,Severe Toxicity
lungs,Drug B,21.37,2.81,93.58,7.375,97.8,1.06,2.4,67.33,91.55,109.59,91.56,Normal
kidney,Drug A,42.43,13.2,97.52,7.395,97.65,1.03,1.25,56.6,95.03,113.94,89.12,Normal
kidney,Drug C,52.9,2.57,89.46,7.268,93.9,2.31,6.38,65.36,84.31,95.69,92.76,Normal
kidney,Drug B,45.43,8.59,90.2,7.293,86.55,2.39,6.79,85.89,82.2,95.56,91.85,Normal
liver,Drug C,28.13,30.36,62.32,6.918,49.54,7.3,28.75,106.0,47.22,44.11,65.96,Severe Toxicity
heart,Drug C,16.14,17.55,86.35,7.18,82.48,2.83,9.9,90.43,75.71,92.14,87.17,Mild Toxicity
kidney,Drug B,20.22,11.55,90.45,7.36,92.2,1.75,4.61,78.45,88.38,101.08,84.8,Normal
liver,Drug C,58.68,22.02,46.4,6.711,20.51,10.73,40.94,34.47,24.8,16.46,41.92,Severe Toxicity
kidney,Drug C,47.39,26.53,44.97,6.803,23.76,10.62,40.53,29.37,27.56,8.0,55.44,Severe Toxicity
lungs,Drug B,47.74,11.75,87.21,7.222,84.94,2.57,8.78,94.43,81.85,85.5,81.41,Mild Toxicity
lungs,Drug C,15.31,19.6,85.23,7.243,81.16,3.55,10.38,80.47,74.73,96.13,78.6,Mild Toxicity
lungs,Drug C,34.0,25.94,60.09,6.968,47.75,7.65,27.94,49.07,44.79,58.32,58.18,Severe Toxicity
heart,Drug C,39.77,21.94,65.1,6.918,46.01,7.22,27.66,58.91,48.37,64.89,56.35,Severe Toxicity
lungs,Drug A,28.68,7.83,99.02,7.388,100.0,1.44,1.23,70.06,94.37,108.11,106.34,Normal
lungs,Drug A,47.19,25.52,95.76,7.399,99.19,1.03,1.82,73.02,94.74,112.0,96.89,Normal
kidney,Drug B,4.64,19.59,94.44,7.437,97.51,1.73,3.07,62.13,95.9,102.64,87.14,Normal
heart,Drug C,31.29,13.2,78.63,7.158,71.84,3.98,14.23,83.13,69.33,85.6,73.08,Mild Toxicity
heart,Drug C,3.91,15.8,93.83,7.359,94.53,1.75,3.61,75.47,85.64,107.93,86.93,Normal
kidney,Drug C,8.51,15.54,90.52,7.301,93.89,2.19,5.74,78.44,86.8,96.49,96.21,Normal
kidney,Drug C,32.0,1.2,93.67,7.39,91.85,1.31,3.34,73.25,86.16,104.12,94.66,Normal
lungs,Drug A,27.57,32.28,96.37,7.397,100.0,1.17,1.43,73.0,94.32,122.33,87.65,Normal
lungs,Drug A,9.98,21.92,96.62,7.39,99.56,0.85,0.88,81.72,88.34,100.17,94.05,Normal
liver,Drug B,56.25,31.42,67.83,6.974,53.53,6.45,24.17,104.94,55.41,59.85,71.98,Severe Toxicity
heart,Drug A,11.95,30.61,98.96,7.445,97.34,1.37,1.15,75.08,91.56,111.67,94.61,Normal
heart,Drug A,14.91,28.16,93.82,7.412,99.54,0.71,1.26,67.93,97.65,118.9,98.89,Normal
heart,Drug A,32.29,3.04,99.08,7.472,99.95,1.07,1.86,69.2,88.92,111.15,89.25,Normal
lungs,Drug A,52.86,10.92,99.65,7.366,96.87,0.92,1.45,71.65,95.7,100.43,93.01,Normal
liver,Drug B,3.48,26.29,96.81,7.392,97.84,1.15,3.37,68.62,86.53,121.43,101.14,Normal
liver,Drug C,30.62,7.01,88.78,7.278,88.75,2.68,8.68,86.58,79.13,92.13,81.5,Mild Toxicity
heart,Drug C,43.04,9.9,76.0,7.193,74.64,4.21,14.35,81.41,68.94,89.72,79.51,Mild Toxicity
liver,Drug A,21.64,24.08,98.48,7.46,98.35,1.12,1.67,82.55,97.31,102.24,96.66,Normal
lungs,Drug C,4.86,16.87,94.86,7.377,93.08,1.69,3.52,81.17,87.21,94.27,80.78,Normal
heart,Drug B,14.34,28.84,91.02,7.312,90.13,2.65,6.85,90.46,87.12,89.91,81.96,Normal
heart,Drug C,54.94,2.19,89.72,7.313,91.49,1.68,5.09,79.94,88.08,98.64,97.62,Normal
kidney,Drug B,34.73,2.97,93.76,7.426,97.61,1.8,2.95,76.35,87.95,98.36,91.35,Normal
kidney,Drug A,38.48,6.15,95.69,7.351,95.69,0.94,0.95,74.47,88.65,110.27,92.86,Normal
heart,Drug C,47.91,22.01,56.63,6.85,35.89,8.84,33.46,41.02,45.68,28.62,55.77,Severe Toxicity
heart,Drug B,47.27,8.62,89.81,7.271,86.36,2.08,6.29,79.96,79.75,110.22,89.03,Normal
lungs,Drug B,20.27,11.97,95.84,7.318,93.08,2.01,4.57,72.12,82.96,106.51,93.23,Normal
kidney,Drug C,19.07,21.35,78.73,7.195,78.97,4.1,14.08,79.8,70.7,82.98,81.28,Mild Toxicity
liver,Drug A,45.55,3.34,95.92,7.399,99.84,0.96,1.19,77.16,86.92,104.75,95.83,Normal
liver,Drug A,44.05,18.92,99.71,7.399,99.63,1.28,0.76,70.06,95.41,101.48,96.06,Normal
heart,Drug B,33.5,26.68,82.19,7.139,76.06,3.52,12.46,83.7,70.25,82.52,71.48,Mild Toxicity
kidney,Drug A,37.92,8.17,97.55,7.333,95.83,0.84,1.38,71.4,88.28,101.66,92.97,Normal
lungs,Drug A,40.82,11.16,99.23,7.437,94.87,1.08,1.77,74.47,95.71,115.68,93.51,Normal
liver,Drug A,52.31,10.59,99.52,7.411,100.0,0.79,1.54,68.51,92.59,117.5,85.7,Normal
lungs,Drug A,24.39,6.77,96.68,7.478,100.0,0.63,1.31,59.9,87.0,115.3,90.27,Normal
heart,Drug A,33.48,1.52,98.14,7.366,98.13,0.95,1.32,70.06,93.23,115.13,103.6,Normal
liver,Drug A,54.58,13.05,95.98,7.346,94.62,1.1,1.87,75.69,92.72,119.59,85.94,Normal
kidney,Drug A,53.1,2.51,97.72,7.445,98.32,1.25,1.36,66.91,91.25,108.77,98.57,Normal
heart,Drug B,22.42,32.37,83.96,7.275,77.54,3.31,10.92,86.47,72.28,83.2,76.77,Mild Toxicity
liver,Drug A,20.94,4.0,100.0,7.415,99.48,0.9,1.23,70.27,89.42,108.64,100.31,Normal
liver,Drug C,7.55,34.11,86.54,7.225,79.74,3.02,10.18,72.97,80.49,93.98,82.32,Mild Toxicity
lungs,Drug B,39.76,24.83,82.13,7.154,74.9,4.11,14.42,96.7,71.41,70.56,76.05,Mild Toxicity
kidney,Drug B,19.89,35.69,82.45,7.214,81.76,2.87,10.82,78.06,73.31,101.88,82.45,Mild Toxicity
lungs,Drug A,4.05,13.23,95.27,7.364,96.07,0.74,1.1,73.72,90.03,116.48,103.63,Normal
lungs,Drug A,14.1,11.67,97.05,7.415,98.02,0.6,1.45,77.79,98.76,100.59,95.61,Normal
lungs,Drug A,25.81,13.09,99.67,7.375,99.15,1.13,2.27,78.88,91.95,99.9,92.61,Normal
liver,Drug C,39.23,7.36,84.62,7.287,78.02,2.86,11.27,85.98,75.24,90.76,86.25,Mild Toxicity
kidney,Drug C,9.29,10.83,91.84,7.332,92.17,1.83,5.56,76.29,85.66,98.21,95.46,Normal
lungs,Drug A,36.96,35.16,95.06,7.327,97.05,1.45,1.52,62.17,97.81,99.66,87.62,Normal
kidney,Drug A,40.37,33.4,97.14,7.375,99.71,0.91,1.09,72.47,88.08,120.6,90.23,Normal
liver,Drug B,22.62,2.79,97.09,7.394,96.49,1.09,2.49,79.2,91.94,104.28,103.2,Normal
kidney,Drug A,41.15,5.15,100.0,7.388,98.97,1.48,1.29,69.02,89.08,106.57,82.95,Normal
liver,Drug B,41.84,2.58,92.98,7.385,94.69,1.6,2.32,77.47,90.51,122.54,86.51,Normal
liver,Drug C,29.89,15.66,78.36,7.121,69.14,4.71,16.03,90.68,60.54,71.71,74.81,Mild Toxicity
liver,Drug C,57.0,25.33,39.66,6.606,13.87,11.78,45.24,42.91,20.49,15.23,26.14,Severe Toxicity
liver,Drug B,59.26,14.07,85.09,7.139,79.16,3.58,12.27,94.97,76.43,77.04,83.94,Mild Toxicity
lungs,Drug A,26.78,11.09,96.56,7.413,98.33,1.07,1.76,79.06,97.25,108.78,94.15,Normal
lungs,Drug A,50.75,34.2,95.83,7.415,98.16,1.08,1.95,75.35,97.09,108.78,93.31,Normal
lungs,Drug B,38.01,31.2,78.23,7.098,69.52,4.6,16.1,101.6,61.35,62.42,68.22,Mild Toxicity
liver,Drug A,14.13,1.41,98.42,7.358,97.26,1.14,1.53,73.35,91.95,114.7,93.17,Normal
lungs,Drug A,37.73,11.42,96.16,7.413,99.99,0.89,1.24,65.22,93.67,98.81,91.6,Normal
liver,Drug B,14.09,34.87,87.95,7.22,83.87,2.86,7.22,89.94,77.15,108.29,80.49,Mild Toxicity
liver,Drug B,14.19,1.11,96.95,7.474,99.11,0.89,2.12,75.87,92.3,97.14,94.12,Normal
liver,Drug A,19.63,19.16,96.11,7.376,98.44,1.18,1.33,80.73,92.95,109.38,90.87,Normal
heart,Drug C,26.57,18.76,77.22,7.104,67.73,4.87,16.97,90.06,67.97,76.7,65.16,Mild Toxicity
kidney,Drug A,14.08,25.52,94.26,7.43,99.34,0.93,1.38,72.45,92.1,115.41,89.78,Normal
kidney,Drug A,23.23,22.39,96.6,7.393,96.44,1.42,1.46,74.91,93.59,113.36,90.97,Normal
heart,Drug A,37.78,28.76,99.04,7.428,100.0,0.9,1.26,68.29,92.79,109.31,92.62,Normal
lungs,Drug A,7.29,7.97,98.14,7.418,95.21,1.16,1.76,73.36,93.55,99.57,92.76,Normal
kidney,Drug B,48.67,10.06,87.47,7.262,88.21,2.77,8.06,83.96,78.96,96.55,94.91,Mild Toxicity
kidney,Drug C,12.17,10.64,89.9,7.285,91.57,2.47,5.42,79.67,83.19,83.7,85.77,Normal
lungs,Drug A,44.74,18.59,95.41,7.407,96.64,1.12,1.54,72.41,92.39,117.3,98.84,Normal
lungs,Drug C,12.63,15.9,91.22,7.343,86.56,2.27,6.74,83.11,85.73,97.73,77.5,Normal
liver,Drug B,6.1,7.21,98.03,7.416,94.02,1.35,1.86,82.49,87.1,110.4,92.4,Normal
heart,Drug A,9.28,6.21,94.16,7.378,97.65,0.67,1.39,71.22,88.87,117.02,92.16,Normal
kidney,Drug A,57.79,8.84,97.86,7.429,100.0,1.12,1.67,67.86,89.47,96.63,83.76,Normal
liver,Drug A,48.64,23.91,97.88,7.438,98.82,0.94,1.48,75.24,90.93,115.79,87.16,Normal
heart,Drug B,41.17,12.2,87.95,7.307,80.7,2.4,7.38,73.97,82.5,93.36,94.97,Mild Toxicity
lungs,Drug C,28.79,12.13,84.07,7.231,78.26,3.66,11.85,85.91,69.8,77.46,88.52,Mild Toxicity
heart,Drug A,28.66,13.3,97.94,7.354,98.33,1.38,1.58,69.39,86.76,97.75,97.23,Normal
liver,Drug A,24.53,27.72,97.04,7.398,100.0,0.99,2.13,71.55,92.47,99.17,101.62,Normal
heart,Drug A,9.31,1.75,97.0,7.366,98.12,0.99,1.84,62.25,93.11,105.52,103.49,Normal
liver,Drug A,46.47,26.51,96.28,7.385,98.18,0.82,1.5,76.47,94.88,109.15,96.25,Normal
liver,Drug A,47.37,8.5,96.51,7.434,96.91,1.31,2.34,73.14,94.4,105.12,92.3,Normal
lungs,Drug B,40.64,4.83,95.39,7.397,93.92,1.51,3.98,75.68,89.92,100.66,101.51,Normal
liver,Drug C,9.0,22.42,90.45,7.289,81.04,2.62,7.95,76.81,85.65,105.02,81.91,Mild Toxicity
liver,Drug A,25.76,31.85,97.72,7.474,98.95,0.94,1.86,66.63,90.27,103.34,90.62,Normal
heart,Drug A,45.78,13.52,96.38,7.406,97.51,1.09,1.49,71.06,92.96,106.45,95.74,Normal
heart,Drug C,2.78,29.35,92.28,7.353,87.8,2.0,3.9,77.23,90.52,89.09,93.04,Normal
lungs,Drug A,8.53,22.89,93.24,7.457,97.41,0.86,1.28,77.12,91.29,112.25,91.23,Normal
heart,Drug A,42.52,10.18,97.68,7.486,97.98,0.95,1.54,67.56,97.23,111.47,95.97,Normal
kidney,Drug A,42.89,11.13,100.0,7.388,96.16,1.09,1.96,84.63,96.15,107.61,101.24,Normal
heart,Drug B,30.64,19.49,85.66,7.243,82.05,2.63,8.99,84.7,74.27,89.97,81.25,Mild Toxicity
kidney,Drug A,48.16,21.4,94.32,7.339,93.45,0.91,1.35,74.19,95.27,111.84,98.66,Normal
lungs,Drug B,33.65,4.87,95.45,7.339,92.02,1.6,3.87,82.97,92.43,105.73,94.84,Normal
heart,Drug B,24.64,34.03,80.63,7.18,76.91,3.4,12.29,83.74,72.5,93.29,74.93,Mild Toxicity
heart,Drug B,16.66,19.4,92.35,7.378,90.83,2.18,5.73,83.42,83.41,115.87,88.85,Normal
kidney,Drug B,27.21,19.08,88.28,7.227,86.14,2.61,7.78,85.96,81.79,78.41,82.83,Mild Toxicity
heart,Drug B,30.48,16.82,88.46,7.308,85.83,2.71,7.9,88.68,81.29,85.12,81.0,Normal
heart,Drug A,59.87,25.04,96.53,7.434,94.67,1.38,1.31,72.52,88.01,113.2,92.1,Normal
liver,Drug A,40.09,29.5,97.74,7.394,93.8,0.83,1.21,70.72,92.85,113.32,91.59,Normal
heart,Drug A,52.62,17.63,94.85,7.369,98.18,1.04,1.61,77.5,97.85,123.58,100.41,Normal
heart,Drug A,41.81,32.35,92.66,7.371,99.98,1.08,1.58,68.83,95.34,108.5,100.43,Normal
kidney,Drug B,53.82,16.81,80.44,7.12,77.78,3.86,12.82,93.17,73.81,89.79,82.86,Mild Toxicity
kidney,Drug A,10.89,32.35,96.67,7.331,94.63,1.31,1.34,74.74,93.16,117.24,85.66,Normal
heart,Drug A,52.68,29.93,100.0,7.379,98.23,1.54,2.32,80.13,94.1,110.33,92.28,Normal
lungs,Drug C,53.75,4.04,93.33,7.257,87.17,2.62,8.53,81.33,79.86,84.49,81.12,Mild Toxicity
lungs,Drug A,3.15,34.1,97.78,7.343,98.22,1.14,1.47,72.34,99.06,111.48,93.06,Normal
kidney,Drug C,30.13,24.29,68.0,6.991,53.61,6.54,24.0,106.47,52.67,56.41,74.26,Severe Toxicity
liver,Drug C,28.36,28.83,65.73,6.979,48.77,7.24,26.26,102.81,46.3,52.74,66.97,Severe Toxicity
lungs,Drug A,48.9,20.85,97.58,7.383,98.88,1.34,1.43,64.72,87.49,115.3,87.8,Normal
lungs,Drug B,56.31,32.22,63.37,7.044,56.13,6.54,24.59,114.39,51.66,56.39,64.47,Severe Toxicity
lungs,Drug A,31.21,31.58,97.47,7.413,99.67,0.97,1.9,69.07,94.37,99.71,98.94,Normal
lungs,Drug C,21.16,25.64,77.64,7.152,63.75,5.54,17.54,96.39,65.95,70.13,78.59,Mild Toxicity
liver,Drug A,9.02,31.58,98.18,7.396,97.64,1.49,1.66,78.89,92.8,123.17,84.9,Normal
heart,Drug A,42.07,26.13,99.78,7.406,95.45,0.96,1.53,77.39,86.32,112.35,86.3,Normal
lungs,Drug A,11.11,31.37,94.05,7.351,99.51,1.04,1.52,66.43,94.69,104.91,90.75,Normal
heart,Drug A,49.7,3.89,97.71,7.387,99.61,1.07,1.76,66.3,91.28,115.19,94.51,Normal
liver,Drug A,2.58,9.09,94.25,7.488,95.25,1.4,1.87,71.93,95.12,116.29,106.93,Normal
kidney,Drug B,38.01,12.15,93.05,7.259,86.84,2.67,7.76,84.08,84.62,89.36,97.35,Normal
lungs,Drug C,12.09,20.65,88.97,7.237,82.78,2.84,8.76,82.75,80.81,98.06,89.22,Mild Toxicity
liver,Drug A,57.65,31.27,95.65,7.495,98.3,1.33,2.02,66.56,90.33,111.75,102.71,Normal
lungs,Drug A,9.38,14.16,98.26,7.429,100.0,1.0,1.15,74.69,93.07,105.7,94.1,Normal
kidney,Drug A,17.69,20.22,96.5,7.416,99.04,1.05,2.08,69.83,94.33,109.81,103.41,Normal
lungs,Drug B,26.43,26.56,86.42,7.195,83.41,3.2,10.68,92.23,78.3,84.75,80.95,Mild Toxicity
kidney,Drug B,54.34,1.15,99.97,7.316,95.58,1.41,2.45,83.27,88.5,111.4,87.23,Normal
liver,Drug A,47.31,2.65,98.08,7.406,99.17,1.25,1.45,74.67,90.13,99.75,106.89,Normal
heart,Drug A,52.8,2.92,100.0,7.424,97.83,0.93,1.04,59.52,97.41,109.44,100.36,Normal
kidney,Drug C,16.51,34.47,73.72,7.175,63.69,5.22,19.5,86.55,61.99,76.81,70.74,Mild Toxicity
liver,Drug A,11.26,22.23,95.15,7.382,97.38,1.27,1.49,78.82,88.92,104.1,99.27,Normal
kidney,Drug B,39.62,9.42,91.88,7.319,90.24,2.1,6.67,77.24,88.13,95.9,85.57,Normal
heart,Drug A,41.24,27.44,96.33,7.408,97.0,1.02,1.9,67.44,91.54,105.99,88.56,Normal
lungs,Drug B,8.5,3.09,99.51,7.404,98.69,1.23,1.88,73.32,90.61,104.53,101.48,Normal
heart,Drug C,2.62,22.59,95.72,7.403,97.57,1.57,4.07,73.48,80.43,115.16,92.02,Normal
lungs,Drug A,29.55,20.06,94.4,7.364,96.41,0.99,1.52,72.44,92.66,108.56,91.25,Normal
lungs,Drug A,6.1,7.74,97.49,7.383,100.0,1.49,1.66,70.02,91.15,106.53,92.84,Normal
liver,Drug A,12.6,18.93,98.0,7.378,98.69,1.19,1.77,70.48,96.23,108.73,78.98,Normal
lungs,Drug A,21.75,17.19,95.21,7.384,97.71,1.23,1.37,69.98,99.41,95.07,99.64,Normal
heart,Drug A,48.48,10.78,98.59,7.421,98.59,1.26,1.71,71.44,99.51,108.54,91.7,Normal
heart,Drug C,29.56,35.18,56.89,6.886,36.64,9.3,33.69,34.94,45.8,54.01,52.86,Severe Toxicity
heart,Drug C,11.44,33.66,78.84,7.272,78.13,3.83,12.86,95.1,69.97,79.7,82.4,Mild Toxicity
liver,Drug B,47.14,13.75,85.4,7.183,80.8,3.03,9.48,89.3,78.25,93.39,80.25,Mild Toxicity
liver,Drug B,19.41,3.36,94.24,7.436,98.21,1.27,2.23,65.01,93.6,103.59,89.42,Normal
heart,Drug A,4.36,27.66,97.76,7.454,100.0,0.96,1.28,79.74,93.77,112.14,83.95,Normal
kidney,Drug A,25.53,30.71,95.87,7.409,96.97,0.83,1.74,67.58,91.95,109.45,95.58,Normal
kidney,Drug C,32.86,27.24,59.0,6.946,49.64,7.48,29.45,33.61,44.41,52.31,53.5,Severe Toxicity
liver,Drug C,36.73,11.16,82.81,7.195,73.04,4.38,13.81,89.75,67.09,91.19,75.03,Mild Toxicity
kidney,Drug B,48.59,25.53,76.96,7.08,66.31,4.89,16.93,93.28,59.62,66.15,79.57,Mild Toxicity
heart,Drug C,45.72,26.63,48.89,6.752,24.42,10.3,38.68,36.84,22.48,15.11,55.27,Severe Toxicity
lungs,Drug B,6.83,34.84,98.29,7.304,94.23,1.86,4.48,70.12,88.27,98.37,90.52,Normal
lungs,Drug B,59.45,9.03,87.45,7.257,85.95,2.87,8.15,81.69,77.54,88.41,89.29,Mild Toxicity
liver,Drug C,53.46,22.05,53.26,6.766,32.6,9.57,37.55,37.83,30.22,26.49,50.2,Severe Toxicity
liver,Drug B,51.8,12.02,88.6,7.232,88.94,3.27,8.5,83.16,82.77,88.45,90.97,Mild Toxicity
kidney,Drug B,33.44,32.14,77.84,7.187,75.7,4.54,15.04,97.95,71.02,83.22,73.47,Mild Toxicity
kidney,Drug A,55.76,20.79,94.69,7.416,100.0,1.19,1.52,78.97,89.46,97.7,88.86,Normal
kidney,Drug B,44.43,26.44,79.34,7.082,65.19,4.68,16.44,97.18,65.52,75.27,63.92,Mild Toxicity
liver,Drug A,15.08,31.98,97.07,7.357,98.45,0.91,1.06,69.76,93.44,111.83,88.78,Normal
lungs,Drug A,27.97,21.87,100.0,7.39,95.31,1.36,1.62,84.39,89.6,112.35,97.03,Normal
liver,Drug C,33.15,20.67,70.06,7.015,59.76,6.44,22.53,101.38,56.82,54.67,71.33,Severe Toxicity
heart,Drug C,43.65,5.98,88.74,7.3,85.14,2.86,9.05,93.54,78.84,92.19,80.01,Mild Toxicity
liver,Drug C,55.91,32.99,26.02,6.6,5.0,12.0,58.17,20.0,8.0,8.0,29.41,Severe Toxicity
kidney,Drug A,24.75,11.37,96.39,7.358,95.05,1.21,1.08,76.66,93.16,104.95,96.69,Normal
kidney,Drug C,52.75,24.46,47.8,6.657,24.27,10.59,40.61,32.68,25.47,17.63,48.63,Severe Toxicity
liver,Drug B,39.77,23.44,79.18,7.191,76.49,3.69,12.69,80.11,67.09,76.49,75.11,Mild Toxicity
kidney,Drug B,19.84,26.84,88.14,7.244,84.4,2.43,7.65,91.41,79.67,86.47,93.2,Mild Toxicity
